Filming Date,#Camera,Hike,GPS-ID,Elevation,Plant Family,Plant Genus,Plant Species,Flower Height,#Flowers,Memory Card,Outside Pic,Inside Pic,Video stored,Comment,Frames Found,Frames with Hummingbirds,Hummingbirds,Comment,
04/12/13,8,Main Trail,FH804,1907,Campanulaceae,Burmeistra,,0.3,1,8,FH804_OUT,FH804_IN,100.00%,,,,,,
15/12/13,1,Main Trail,FH105,1902,Campanulaceae,Centropogon,solanifolius,0.5,1,1,FH105_OUT,FH105_IN,100.00%,Camera produced three files,,,,,
15/12/13,3,Main Trail,FH305,1917,Gesneriaceae,Columnea,medicinalis,0.5,3,3,FH305_OUT,FH305_IN,100.00%,,,,,,
15/12/13,6,Main Trail,FH606,1911,Gesneriaceae,Gasteranthus,quitensis,0.2,3,6,FH606_OUT,FH606_IN,100.00%,This camera was a little experimental; I wanted to catch as many Gasteranthus as possible – they were all in different stages of maturity.,,,,,
19/12/13,1,Main Trail,FH106,2431,Bromeliaceae,,,1.5,5,1,FH106_OUT,FH106_IN,100.00%,The species with the half-red leaves. ,,,,,
19/12/13,5,Main Trail,FH506,2392,Gesneriaceae,Alloplectus,teuscheri,2,8,5,FH506_OUT,FH506_IN,100.00%,Camera equipped with zoom lens; unfortunately the rain the night before left the lens pretty wet.,,,,,
19/12/13,8,Main Trail,FH805,2342,Bromeliaceae,,,1.5,3,8,N/A,FH805_IN,100.00%,,,,,,
19/12/13,6,Main Trail,FH607,2470,Gesneriaceae,Hepiella,ulmifolia,1.5,1,6,FH607_OUT,FH607_IN,100.00%,,,,,,
19/12/13,7,Main Trail,FH705,2416,Gesneriaceae,Alloplectus,teuscheri,2,3,7,FH705_OUT,FH705_IN,100.00%,,,,,,
19/12/13,3,Main Trail,FH306,2280,Onagraceae,Fuchsia,macrostigma,1,2,3,FH306_OUT,FH306_IN,100.00%,,,,,,
19/12/13,4,Main Trail,FH405,2273,Solancaceae,,,0.8,1,4,FH405_OUT,FH405_IN,100.00%,I thought I'd give it a try since I'd seen a hummingbird on a white Solanaceae flower recently.,,,,,
19/12/13,2,Main Trail,FH205,2335,Ericaceae,Macleania,stricta,1.2,4,2,FH205_OUT,FH205_IN,100.00%,,,,,,
31/12/13,3,Main Trail,FH307,1898,Alstroemeriaceae,Bomarea,pardina,3,20,3,FH307_OUT,N/A,,"Camera equipped with zoom lens, the cameras does not recognize the 31.12.2013 as a date and kept screwing up. And consequently it didn't film anything on the 31.12. ",,,,,
01/01/14,5,Self-Guided,FH507,1828,Gesneriaceae,Columnea,kucinyakii,1.8,1,5,FH507_OUT,FH507_IN,100.00%,"The camera did not recognize the date 31.12.2013 (date of installation) and screwed up – had to set it to 1.1. so the filming date will be 2.1. (although actually 1.1.)
Judging from the first hummingbird the camera may have been a bit too close to the plant. ",,,,,
01/01/14,2,Main Trail,FH206,1908,Ericaceae,Psamisia,aberrans,0.5,0,2,FH206_OUT,FH206_IN,100.00%,"See comment above. The flowers were all closed, but since the Psamsia flowers seem to be short-lived I have the hope that they will be open tomorrow.",,,,,
01/01/14,4,Main Trail,FH406,1908,Ericaceae,Macleania,stricta,1.5,2,4,FH406_OUT,FH406_IN,100.00%,The camera did not recognize the date 31.12.2013(date of installation) and screwed up – had to set it to 1.1. so the filming date will be 2.1. (although actually 1.1.),,,,,
08/01/14,2,Main Trail,FH207,1936,Gesneriaceae,Columnea,kucinyakii,1.8,2,2,FH207_OUT,FH207_IN,100.00%,,,,,,
08/01/14,6,Main Trail,FH608,2082,Campanulaceae,Centropogon,solanifolius,2,2,6,FH608_OUT,FH608_IN,100.00%,,,,,,
08/01/14,5,Main Trail,FH508,2118,Gesneriaceae,Columnea,ciliata,1.8,1,5,FH508_OUT,FH508_IN,100.00%,,,,,,
08/01/14,8,Main Trail,FH806,2238,Begoniaceae,Begonia,longirostris,0.3,1,8,FH806_OUT,FH107_IN,100.00%,The camera produced three files.,,,,,
08/01/14,7,Main Trail,FH706,2368,Bromeliaceae,Mezobromelia,capituligera,1,1,7,FH706_OUT,FH706_IN,100.00%,Found this large Mezobromeliad on the floor and arranged to be used for the camera. The inflorecence seems to have slid down a little though. I twas much higher when I set it up (unforutuantely it had only one flower). I might try the same plant again if it keeps producing flowers.,,,,,
08/01/14,3,Main Trail,FH308,2306,Gesneriaceae,Capanea,affinis,3,2,3,FH308_OUT,FH308_IN,100.00%,Camera equipped with zoom lens. Lots of water drops due to the heavy rain the night before filming.,,,,,
08/01/14,4,Main Trail,FH407,2256,Begoniaceae,Begonia,longirostris,0.5,3,4,FH407_OUT,N/A,0.00%,camera didn't record anything. ,,,,,
08/01/14,1,Main Trail,FH107,2435,Zingiberaceae,Renealmia,Sp 1,1,1,1,FH107_OUT,FH107_IN,100.00%,,,,,,
21/01/14,8,Lek,FH807,1743,Bromeliaceae,Guzmania,jaramilloi,1.6,2,8,N/A,N/A,0.00%,"Another “funny” camera issue. When I set up the camera it has more than 50% battery. When I took it down it claimed that the battery was empty, so I switched it off and on and it said it still had 42%. Of course it didn't film anything. :(",,,,,
21/01/14,7,Main Trail,FH707,1912,Gesneriaceae,Columnea,ciliata,2,1,7,FH707_OUT,FH707_IN,100.00%,,,,,,
21/01/14,5,Self-Guided,FH509,1851,Bromeliaceae,Guzmania,jaramilloi,0.5,2,5,N/A,FH509_IN,100.00%,,,,,,
21/01/14,2,Self-Guided,FH208,1848,Campanulaceae,Centropogon,solanifolius,1.4,1,2,FH208_OUT,FH208_IN,100.00%,"While inspecting the cameras on 21.01. I saw that the flower I wanted to film had actually fallen down (more or less), so I put a flower from another branch into the view of the camera.",,,,,
21/01/14,3,Lek,FH309,1736,Gesneriaceae,Gasteranthus,quitensis,0.3,1,3,FH309_OUT,FH309_IN,100.00%,,,,,,
21/01/14,4,Lek,FH408,1922,Gesneriaceae,Columnea,kucinyakii,1.7,4,4,FH408_OUT,FH408_IN,100.00%,,,,,,
21/01/14,1,Lek,FH108,1751,Gesneriaceae,Columnea,ciliata,3,2,1,FH108_OUT,FH108_IN,100.00%,"The camera did not record anything in the afternoon, but it did start recording on the next morning. ",,,,,
21/01/14,6,Self-Guided,FH609,1822,Gesneriaceae,Columnea,picta,0.5,1,6,FH609_OUT,FH609_IN,100.00%,,,,,,
28/01/14,1,Self-Guided,FH109,1978,Gesneriaceae,Columnea,kucinyakii,3,1,1,,FH109_IN,100.00%,,,,,,
12/02/14,8,Main Trail,FH808,2319,Alstroemeriaceae,Bomarea,pardina,1,12,8,FH808_OUT,FH808_IN,100.00%,,,,,,
12/02/14,6,Main Trail,FH610,2489,Campanulaceae,Centropogon,nigricans,1,1,6,FH610_OUT,FH610_IN,100.00%,,,,,,
12/02/14,5,Main Trail,FH510,2377,Gesneriaceae,,,1,5,5,FH510_OUT,FH510_IN,100.00%,,,,,,
12/02/14,1,Main Trail,FH110,2354,Gesneriaceae,Alloplectus,teuscheri,2,7,1,FH110_OUT,FH110_IN,100.00%,The afternoon video is incomplete. The camera will know why. Probably another issue with the batteries.,,,,,
12/02/14,7,Main Trail,FH708,2363,Gesneriaceae,Alloplectus,teuscheri,0.9,2,7,N/A,FH708_IN,100.00%,,,,,,
12/02/14,4,Main Trail,FH409,2440,Zingiberaceae,Renealmia,Sp 1,0.8,3,4,FH409_OUT,FH409_IN,100.00%,,,,,,
12/02/14,2,Main Trail,FH209,2275,Onagraceae,Fuchsia,macrostigma,1,1,2,FH209_OUT,FH209_IN,100.00%,,,,,,
12/02/14,3,Main Trail,FH310,2246,Gesneriaceae,Columnea,leopardis,0.5,1,3,FH310_OUT,FH310_IN,100.00%,Camera position a little too high. ,,,,,
27/02/14,7,Main Trail,FH709,1991,Bromeliaceae,Mezobromelia,capituligera,1.6,2,7,FH709_OUT,FH709_IN,100.00%,,,,,,
27/02/14,6,Main Trail,FH611,2288,Zingiberaceae,Renealmia,Sp 1,0.5,2,6,FH611_OUT,FH611_IN,100.00%,,,,,,
27/02/14,3,Main Trail,FH311,2173,Gesneriaceae,Kohleria,Sp 2,1,0.9,3,FH311_OUT,FH311_IN,100.00%,,,,,,
27/02/14,5,Main Trail,FH511,2126,Campanulaceae,Centropogon,solanifolius,0.5,3,5,N/A,FH511_IN,100.00%,,,,,,
27/02/14,2,Main Trail,FH210,2062,Gesneriaceae,,,1.9,2,2,FH210_OUT,N/A,0.00%,"Another interesting phenomenon. The camera's battery was down from ~60 to 32%, camera didn't complain about lack of energy, but said – when I opened it – that it would start filming on 4th of January 2013. Didn't record anything. ",,,,,
27/02/14,1,Main Trail,FH111,2033,Gesneriaceae,,,0.6,2,1,FH111_OUT,FH111_IN,100.00%,,,,,,
27/02/14,8,Main Trail,FH809,2261,Gesneriaceae,Columnea,leopardis,1,3,8,FH809_OUT,FH809_IN,100.00%,A ?bear? Seems to have moved around the camera at 9:13 – from then on only one flower is left to be seen.,,,,,
27/02/14,4,Main Trail,FH410,2273,Rubiaceae,Palicourea,acetosoides,1.4,2,4,FH410_OUT,FH410_IN,100.00%,,,,,,
11/03/14,1,Main Trail,FH112,2013,Gesneriaceae,Capanea,affinis,1.7,2,1,FH112_OUT,FH112_IN,100.00%,"Battery charge before filming: 51%, after filming 54%",,,,,
11/03/14,2,Main Trail,FH211,1981,Gesneriaceae,Columnea,leopardis,0.3,2,2,FH211_OUT,FH211_IN,100.00%,The flower that was actually in focus must have fallen. As I walked by there the next morning I tried to fix the camera position a bit so that another flower was in focus.,,,,,
11/03/14,3,Main Trail,FH312,1965,Bromeliaceae,Mezobromelia,capituligera,1,3,3,FH312_OUT,FH312_IN,100.00%,,,,,,
11/03/14,6,Main Trail,FH612,1957,Onagraceae,Fuchsia,macrostigma,1.2,2,6,FH612_OUT,N/A,0.00%,Camera died due to battery failure (all four of them were fully charged; I won't use any of themanymore).,,,,,
11/03/14,8,Lek,FH810,1886,Zingiberaceae,Renealmia,sessilifolia,1.8,1,8,FH810_OUT,FH810_IN,100.00%,,,,,,
11/03/14,7,Lek,FH710,1836,Gesneriaceae,Columnea,ciliata,1.3,1,7,FH710_OUT,FH710_IN,100.00%,,,,,,
11/03/14,4,Lek,FH411,1778,Gesneriaceae,Kohleria,Sp 2,0.3,2,4,FH411_OUT,FH411_IN,66.00%,,,,,,
11/03/14,5,Lek,FH512,1753,Gesneriaceae,Capanea,affinis,3,2,5,FH512_OUT,FH512_IN,66.00%,,,,,,
25/03/14,6,Main Trail,FH613,1941,Gesneriaceae,Columnea,leopardis,0.5,1,6,FH613_OUT,FH613_IN,66.00%,,,,,,
25/03/14,3,Main Trail,FH313,1998,Onagraceae,Fuchsia,macrostigma,1,2,3,FH313_OUT,FH313_IN,66.00%,I don't know why this camera was out of position in the morning. When I passed by there on my transect around 10.00am I fixed it.,,,,,
25/03/14,2,Main Trail,FH212,2080,Rubiaceae,Palicourea,acetosoides,4,1.8,2,FH212_OUT,FH212_IN,66.00%,,,,,,
25/03/14,5,Main Trail,FH513,2130,Gesneriaceae,Alloplectus,teuscheri,0.2,1,5,FH513_OUT,FH513_IN,66.00%,,,,,,
25/03/14,1,Main Trail,FH113,2225,Onagraceae,Fuchsia,macrostigma,0.5,1,1,FH113_OUT,FH113_IN,66.00%,,,,,,
25/03/14,7,Main Trail,FH711,2260,Rubiaceae,Palicourea,acetosoides,1.7,5,7,FH711_OUT,FH711_IN,66.00%,,,,,,
25/03/14,4,Main Trail,FH412,2278,Campanulaceae,Centropogon,solanifolius,0.5,1,4,FH412_OUT,FH412_IN,66.00%,Camera produced three files,,,,,
25/03/14,8,Main Trail,FH811,2265,Gesneriaceae,Hepiella,ulmifolia,0.5,2,8,FH811_OUT,FH811_IN,66.00%,,,,,,
09/04/14,8,Main Trail,FH812,2476,Gesneriaceae,Hepiella,ulmifolia,1.9,1,8,FH812_OUT,FH812_IN,66.00%,Camera produced more than 600 files between 6am and 10:30 in the morning and one larger file in the afternoon (according to the time stamp) which seems to be corrupted (shows a picture from 9:30).,,,,,
09/04/14,5,Main Trail,FH514,2443,Zingiberaceae,Renealmia,Sp 1,0.4,2,5,FH514_OUT,FH514_IN,66.00%,Camera died at 13:50 with battery failure (all batteries were fully charged). Charge is going down from 54 to 48% throughout the morning.,,,,,
09/04/14,4,Main Trail,FH413,2436,Onagraceae,Fuchsia,macrostigma,0.6,1,4,FH413_OUT,,,Windows said the chip was corrupt so I had it analyzed and fixed – result: no files on chip – will have to try a recovery program.,,,,,
09/04/14,6,Main Trail,FH614,2422,Alstroemeriaceae,Bomarea,pardina,1.7,15,6,FH614_OUT,FH614_IN,66.00%,,,,,,
09/04/14,3,Main Trail,FH314,2421,Gesneriaceae,Alloplectus,teuscheri,2.2,1,3,FH314_OUT,FH314_IN,66.00%,,,,,,
09/04/14,2,Main Trail,FH213,2383,Onagraceae,Fuchsia,macrostigma,0.3,2,2,FH213_OUT,FH213_IN,66.00%,,,,,,
09/04/14,1,Main Trail,FH114,2354,Rubiaceae,Palicourea,acetosoides,1.8,4,1,FH114_OUT,FH114_IN,66.00%,,,,,,
09/04/14,7,Main Trail,FH712,2362,Gesneriaceae,Alloplectus,teuscheri,1.7,8,7,FH712_OUT,FH712_IN,66.00%,,,,,,
22/04/14,4,Main Trail,FH414,1987,Bromeliaceae,Mezobromelia,capituligera,1.2,5,4,FH414_OUT,FH414_IN,66.00%,"Lots of hummingbirds, although the flowers I had actually focussed upon had fallen during the night.",,,,,
22/04/14,5,Main Trail,FH515,2080,Onagraceae,Fuchsia,macrostigma,1.5,2,5,FH515_OUT,FH515_IN,66.00%,Bad luck with the camera angle. Probably the flowers were pushed down by the rain during the night. ,,,,,
22/04/14,6,Main Trail,FH615,2138,Begoniaceae,Begonia,longirostris,0.4,2,6,FH615_OUT,FH615_IN,66.00%,,,,,,
22/04/14,2,Main Trail,FH214,2306,Campanulaceae,Centropogon,solanifolius,1,1,2,FH214_OUT,FH214_IN,66.00%,"It looked good in the preview, but maybe the rain or something pushed the flowers down so that they appear on the very low part of the film. ",,,,,
22/04/14,3,Main Trail,FH315,2276,Heliconiaceae,Heliconia,,2,1,3,FH316_OUT,FH316_IN,66.00%,Camera equipped with zoom lens; unfortunately the rain the night before left the lens pretty wet.,,,,,
22/04/14,7,Main Trail,FH713,2359,Rubiaceae,Palicourea,acetosoides,1.7,5,7,FH713_OUT,FH713_IN,66.00%,,,,,,
22/04/14,8,Main Trail,FH813,2426,Alstroemeriaceae,Bomarea,pardina,1.7,15,8,FH813_OUT,,66.00%,Camera produced more than 600 files between 6am and 10:30 in the morning,,,,,
22/04/14,1,Main Trail,FH115,2454,Rubiaceae,Palicourea,lineata,1.3,3,1,FH115_OUT,FH115_IN,66.00%,"BAD luck. I found a P. Lineata (1.5 meters high) with lots of flowers, but apparently during the night a fern leave fell down and pushed the plant down so that it's not within the shooting range of the camera anymore. ",,,,,
07/05/14,7,Main Trail,FH714,1957,Gesneriaceae,,,0.5,2,7,FH714_OUT,FH714_IN,66.00%,,,,,,
07/05/14,2,Main Trail,FH215,2071,Rubiaceae,Palicourea,acetosoides,1.2,4,2,FH215_OUT,FH215_IN,66.00%,,,,,,
07/05/14,3,Main Trail,FH316,2265,Gesneriaceae,Alloplectus,teuscheri,1.5,1,3,FH316_OUT,FH316_IN,66.00%,,,,,,
07/05/14,1,Main Trail,FH116,2312,Rubiaceae,Palicourea,acetosoides,1.2,5,1,FH116_OUT,FH116_IN,66.00%,,,,,,
07/05/14,4,Main Trail,FH415,2351,Onagraceae,Fuchsia,macrostigma,0.3,1,4,FH415_OUT,FH415_IN,66.00%,,,,,,
07/05/14,5,Main Trail,FH516,2367,Gesneriaceae,Hepiella,ulmifolia,1,1,5,FH516_OUT,FH516_IN,66.00%,,,,,,
07/05/14,6,Main Trail,FH616,2454,Rubiaceae,Palicourea,lineata,1,6,6,FH616_OUT,FH616_IN,66.00%,,,,,,
07/05/14,8,Main Trail,FH814,2465,Campanulaceae,Centropogon,nigricans,1.2,1,8,FH814_OUT,FH7814_IN,66.00%,,,,,,
21/05/14,7,Main Trail,FH715,1956,Rubiaceae,Palicourea,acetosoides,3.5,15,7,FH715_OUT,FH715_IN,66.00%,,,,,,
21/05/14,6,Main Trail,FH617,1952,Onagraceae,Fuchsia,macrostigma,1.5,1,6,FH617_OUT,FH617_IN,66.00%,,,,,,
21/05/14,4,Main Trail,FH416,1986,Gesneriaceae,Capanea,affinis,1.3,4,4,FH416_OUT,FH416_IN,66.00%,Camera stopped filming at 5.21pm,,,,,
21/05/14,2,Main Trail,FH216,2088,Campanulaceae,Burmeistra,,0.5,1,2,FH216_OUT,FH216_IN,66.00%,,,,,,
21/05/14,8,Main Trail,FH815,2133,Campanulaceae,Centropogon,solanifolius,0.6,1,8,FH815_OUT,FH815_IN,66.00%,,,,,,
21/05/14,5,Main Trail,FH517,2153,Begoniaceae,Begonia,longirostris,0.5,1,5,FH517_OUT,FH517_IN,66.00%,Camera died at 9am – in the video you can see it losing 1% of battery every 10 mins!,,,,,
21/05/14,1,Main Trail,FH117,2158,Gesneriaceae,Hepiella,ulmifolia,0.5,1,1,FH117_OUT,FH117_IN,66.00%,,,,,,
21/05/14,3,Main Trail,FH317,2171,Gesneriaceae,Columnea,strigosa,1.2,1,3,FH317_OUT,FH317_IN,66.00%,,,,,,
04/06/14,4,Main Trail,FH417,1925,Ericaceae,Psamisia,ulbrichiana,1.6,4,4,FH417_OUT,FH417_IN,66.00%,,,,,,
04/06/14,1,Lek,FH118,1802,Campanulaceae,Centropogon,solanifolius,1.4,1,1,N/A,FH118_IN,66.00%,,,,,,
04/06/14,3,Lek,FH318,1740,Gesneriaceae,Kohleria,Sp 2,0.6,1,3,FH318_OUT,FH318_IN,66.00%,Beautiful flower; doesn't seem to be very popular amongst hummingbirds though.,,,,,
04/06/14,2,Lek,FH217,1740,Campanulaceae,Burmeistra,,2,1,2,N/A,FH217_IN,66.00%,Flower looks about too fall,,,,,
04/06/14,8,Lek,FH816,1779,Zingiberaceae,Renealmia,sessilifolia,3,4,8,N/A,FH816_IN,66.00%,Camera equipped with zoom lens,,,,,
04/06/14,6,Lek,FH618,1764,Rubiaceae,Faramea,calyptrata,1.6,4,6,FH618_OUT,FH618_IN,66.00%,Camera produced three files and finally died at 17:26.,,,,,
04/06/14,5,Lek,FH518,1876,Gesneriaceae,Besleria,solanoides,2,3,5,FH518_OUT,FH518_IN,66.00%,,,,,,
04/06/14,7,Self-Guided,FH716,1894,Gesneriaceae,Besleria,solanoides,2,4,7,FH716_OUT,N/A,0.00%,camera didn't record anything. ,,,,,
18/06/14,10,Main Trail,FH1001,1943,Gesneriaceae,Neomortonia,Sp 2,0.9,5,2,FH1001_OUT,FH1001_IN,66.00%,,,,,,
18/06/14,5,Main Trail,FH519,2068,Gesneriaceae,Besleria,solanoides,3.2,5,5,FH519_OUT,FH519_IN,66.00%,,,,,,
18/06/14,9,Main Trail,FH901,2089,Gesneriaceae,Columnea,picta,2.2,2,3,FH901_OUT,FH901_IN,66.00%,,,,,,
18/06/14,1,Main Trail,FH119,2107,Gesneriaceae,Columnea,strigosa,2.5,2,1,FH119_OUT,FH119_IN,66.00%,,,,,,
18/06/14,8,Main Trail,FH817,2120,Ericaceae,Psamisia,sodiroi,1.8,2,,FH817_OUT,FH817_IN,66.00%,Seems that two of the three flowers had fallen by the time the camera started recording.,,,,,
18/06/14,7,Main Trail,FH717,2153,Gesneriaceae,Hepiella,ulmifolia,0.7,2,,FH717_OUT,FH717_IN,66.00%,,,,,,
18/06/14,6,Main Trail,FH619,2162,Rubiaceae,Palicourea,acetosoides,1.7,5,,FH619_OUT,FH619_IN,66.00%,,,,,,
18/06/14,4,Main Trail,FH418,2237,Campanulaceae,Centropogon,solanifolius,2,2,,FH418_OUT,FH418_IN,66.00%,,,,,,
02/07/14,4,Main Trail,FH419,2476,Gesneriaceae,Columnea,strigosa,3,1,4,FH419_OUT,FH419_IN,66.00%,,,,,,
02/07/14,6,Main Trail,FH620,2461,Alstroemeriaceae,Bomarea,multiflora,0.5,6,6,FH620_OUT,FH620_IN,66.00%,,,,,,
02/07/14,8,Main Trail,FH818,2415,Rubiaceae,Palicourea,lineata,3.5,6,8,N/A,FH818_IN,66.00%,,,,,,
02/07/14,1,Main Trail,FH120,2404,Rubiaceae,Palicourea,lineata,1.8,4,1,FH120_OUT,FH120_IN,66.00%,"Drops of water must have splashed on the camera, so we've got a rather psychedelic useless video. ",,,,,
02/07/14,7,Main Trail,FH718,2326,Gesneriaceae,Columnea,strigosa,1.1,1,9,FH718_OUT,FH718_IN,66.00%,Flower fell. :(,,,,,
02/07/14,9,Main Trail,FH902,2278,Gesneriaceae,Hepiella,ulmifolia,1.6,1,7,FH902_OUT,FH902_IN,66.00%,,,,,,
02/07/14,5,Main Trail,FH520,2288,Rubiaceae,Palicourea,acetosoides,1.3,6,5,FH520_OUT,FH520_IN,66.00%,,,,,,
02/07/14,2,Main Trail,FH218,2290,Rubiaceae,Palicourea,acetosoides,1.7,5,2,FH218_OUT,FH218_IN,66.00%,,,,,,
22/07/14,9,Main Trail,FH903,1948,Gesneriaceae,Gasteranthus,quitensis,0.8,2,3,,FH903_01_000.jpg,66.00%,,767 / 469,0 / 0,,Gasternthus generally doesn't seem to attract many hummingbirds,
22/07/14,2,Main Trail,FH219,1996,Cleomaceae,Podandrogyne,,2,25,2,,FH219_02_001.jpg,66.00%,,2087 / 1668,0 / 3,"Not sure whether this is a hummingbird, might be a butterfly",Some insects came to the flower in the afternoon; definitely some butterflies ,
22/07/14,4,Main Trail,FH420,2023,Gesneriaceae,Columnea,medicinalis,3.5,2,4,,FH420_01_001.jpg,66.00%,,3371 / 578,2 / 0,1xTawny-bellied Hermit,,
22/07/14,11,Main Trail,FH1101,2026,Heliconiaceae,Heliconia,burleana,1.7,1,11,,FH1101_02_001.jpg,66.00%,,4282 / 3637,0 / 2,1xUnidentified,,
